Designator,Footprint,Quantity,Value,LCSC Part #
J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Female,
U1,DIPS1778W50P254L2100H170Q16N,1,DFR0299,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
J5,PJ-301C HeadPhoneJack,1,AudioJack2_Ground,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,R,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,R,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,R,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,R,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,R,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,R,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,10K,
C1,CP_Radial_D6.3mm_P2.50mm,1,180uF,
A1,ARDNANO30NP,1,Arduino_Nano_v3.x,
J3,TerminalBlock_bornier-6_P5.08mm,1,Screw_Terminal_01x06,
SW2,SpDt SlideSwitch,1,SW_SPDT,
J6,TerminalBlock_bornier-6_P5.08mm,1,Screw_Terminal_01x06,
J7,TerminalBlock_bornier-6_P5.08mm,1,Screw_Terminal_01x06,
J2,691311500105,1,1757271,
S1,SW_PUSH_6mm,1,GPTS203211B,GPTS203211B
J17,PinHeader_1x10_P5.0mm_Horizontal,1,Screw_Terminal_01x10 -  HILETGO RLEAY BOARD,
J1,54602908LF,1,RJ45,
J4,Vertical-BarrelJack_54-00287,1,Barrel_Jack_Switch,
J16,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_Female - SAINSMART CONNECTOR,
JP1,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,1,SolderJumper_3_Bridged12,
JP2,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,1,SolderJumper_3_Bridged12,
