Designator,Mid X,Mid Y,Rotation,Layer
J8,176.0,-93.75,0.0,top
U1,165.22,-106.78,90.0,top
R9,165.19,-104.0,0.0,top
J5,170.0,-114.0,-90.0,top
R7,105.5,-139.75,180.0,top
R6,133.2,-131.3,90.0,top
R5,106.5,-99.9,-90.0,top
R4,125.2,-131.345,90.0,top
R3,103.3,-99.855,-90.0,top
R1,161.0,-129.0,180.0,top
R2,156.0,-104.0,0.0,top
C1,158.0,-124.0,0.0,top
A1,148.59,-101.61,-90.0,top
J3,104.84,-94.0,0.0,top
SW2,154.0,-130.5,-90.0,top
J6,151.7,-123.5,180.0,top
J7,180.0,-113.0,-90.0,top
J2,158.16,-93.195,180.0,top
S1,155.25,-114.5,90.0,top
J17,156.5,-140.5,-90.0,top
J1,118.384,-123.571,-90.0,top
J4,168.0,-127.0,180.0,top
J16,149.86,-134.62,90.0,bottom
